DrawNo,DrawDate,1stPrizeNo,2ndPrizeNo,3rdPrizeNo,SpecialNo1,SpecialNo2,SpecialNo3,SpecialNo4,SpecialNo5,SpecialNo6,SpecialNo7,SpecialNo8,SpecialNo9,SpecialNo10,ConsolationNo1,ConsolationNo2,ConsolationNo3,ConsolationNo4,ConsolationNo5,ConsolationNo6,ConsolationNo7,ConsolationNo8,ConsolationNo9,ConsolationNo10
107896,19960817,1720,9838,7008,7561,1141,7897,1471,9066,3608,4067,6485,1847,2878,7666,3601,1368,2415,8534,8703,1083,7817,1127,3839
107996,19960818,9598,2893,5096,4282,7795,2359,2378,4267,8290,4363,5722,9769,0365,3066,3647,2178,8099,3936,3761,7238,5722,3926,5670
108096,19960821,5752,7823,6541,6728,4563,6938,0171,5822,5593,9880,8960,8314,6564,5705,1552,1406,1359,0695,1694,3104,8616,1568,8879
108196,19960824,5909,9211,9481,0108,2815,2370,0126,3465,5668,5194,7744,3903,5241,1261,4367,5383,8363,0767,7573,9541,5275,5245,0857
108296,19960825,4062,9343,5351,1480,9639,9658,0348,2872,1624,7178,1178,1137,1607,6283,2206,9275,4702,2739,3026,0418,5144,8279,7968
108396,19960828,7471,1610,7745,4689,1352,2400,8527,1260,3874,7314,6351,7999,4817,2231,9401,7460,1853,9075,1862,2868,8799,6174,2841
108496,19960831,2662,1715,8133,3974,5926,1905,0161,9960,4280,7739,1098,6988,6433,3444,8770,6948,7076,5390,3233,0147,1189,9483,9164
108596,19960901,2643,7200,0565,2767,4917,0870,3570,4400,2076,8060,6046,7669,2484,9408,5073,6901,2829,7464,7590,1334,6553,8138,6485
108696,19960904,8560,6871,6256,5959,8489,8241,2161,6175,1893,0685,2725,5181,4322,1592,1364,1893,8672,9888,4239,2248,4415,6064,8418
108796,19960907,0962,7825,0201,8959,2445,1151,9718,5225,6987,1749,2217,2140,6628,6671,7120,9418,0206,8780,2309,2737,1174,6594,1457
108896,19960908,0652,3202,9001,7120,7767,4417,3532,0946,7886,2276,0998,2113,2762,5788,3959,9675,0373,9276,3251,3606,3327,5047,6757
108996,19960911,2820,7380,3899,8746,9002,0803,8484,2446,3564,1675,8402,7893,5159,0850,3633,9975,7247,6814,8724,2581,4783,7240,8629
109096,19960914,8705,5911,4119,1102,5196,0968,2993,3653,5688,7348,8372,7145,5057,2699,9719,2390,0314,3361,3542,7500,7816,3430,8494
109196,19960915,9854,5479,2414,9817,2651,8229,6200,8194,3904,1694,7141,8015,7368,5422,7700,8484,2241,3745,7805,7184,3638,8138,5949
109296,19960918,9366,1599,8844,4280,8146,8992,0479,3325,1464,5898,8310,2386,6729,6023,4554,4101,2798,4947,9016,5804,0685,1871,5017
109396,19960921,2353,5250,4847,8764,6486,8549,3179,3624,1129,8328,2118,8232,4923,5948,0069,5802,7534,3858,3015,9503,3503,9263,5757
109496,19960922,3091,9453,5127,5620,3021,8809,5731,1791,7055,9110,4198,1290,2003,1400,0577,4579,3049,1890,4223,6451,6167,8907,2167
109596,19960925,0727,1447,3212,3682,2623,6139,3897,9285,8978,2699,2097,6094,2407,2519,6440,7767,8525,9964,7463,9573,1764,2773,5803
109696,19960928,4975,8150,1219,2277,4113,3586,1021,5217,2695,6510,7756,9017,6796,5566,7855,6686,7846,1666,5277,8787,2922,3883,9025
109796,19960929,6201,8103,9744,4205,6216,4064,9896,9932,1320,8330,5001,9662,4703,6062,7160,7546,2294,5518,3530,7625,0914,7472,5708
109896,19961002,9902,9894,2822,4134,3474,7091,6422,3105,2216,4339,1457,1652,4828,9801,2815,5533,4032,0302,9312,1018,4366,7309,6779
109996,19961005,0279,7046,2374,3204,1214,1599,4485,0764,6814,5069,5883,4645,7267,6385,0260,6142,0645,7300,6079,3653,4498,1767,5070
110096,19961006,1638,6183,3435,9941,5295,5443,1373,9141,0130,5117,5823,8508,8723,4484,9684,0106,5487,8441,3368,9677,1016,1649,4300
110196,19961009,1849,2103,2353,0324,2387,0971,1138,6597,1605,7082,7344,7832,6769,3034,7347,6243,7937,5182,4264,6021,6557,6330,0543
110296,19961012,7343,0922,7607,7152,2533,1564,3554,1416,2990,6760,2054,5508,7700,7017,0091,8766,5013,6704,9055,4233,1975,9593,3657
110396,19961013,2052,7287,3938,0139,4087,3352,7812,9225,1349,2030,7189,9820,7002,3845,4948,0062,0873,5544,4379,1321,3735,0731,6934
110496,19961016,7960,1611,1554,1654,1792,7342,2354,9669,2299,1039,4916,1401,0260,4283,4141,6329,0900,5611,9502,9965,7847,7403,4286
110596,19961019,3357,2760,1117,8323,1146,1402,5307,1363,5926,6230,7000,5991,8723,0176,5785,8007,7444,6835,4803,6826,5304,9215,3392
110696,19961020,8045,8982,8619,8236,9740,6319,3516,1848,9917,6456,4641,3407,4664,2457,5822,1370,4796,4324,4077,1753,9824,3107,4598
110796,19961023,4147,0426,1780,7303,9044,5763,6121,2202,5513,1206,4415,1661,7051,3371,6874,2086,2540,2118,6420,2946,1131,4552,8850
110896,19961026,8898,9136,3288,2664,9768,3317,7097,7037,9973,5201,6139,3689,3364,5194,8394,0588,5397,5855,1927,0390,3463,0067,3079
110996,19961027,4658,0659,8211,5382,8649,9566,6099,1876,2118,4144,2406,3523,1140,4481,6304,8802,5820,8833,9833,0910,5979,7435,5367
111096,19961030,2864,7552,0975,5444,1245,2244,1328,1556,6995,6307,1146,3757,9184,5894,1035,9684,8674,7611,1981,4729,3447,4163,1872
111196,19961102,0680,1421,0920,8001,1868,0995,2544,5567,1423,8897,8949,0938,7587,6160,5438,0277,0417,4447,6755,5832,1235,9856,8558
111296,19961103,2459,3181,4236,2533,5315,8216,4701,9821,6441,2739,6743,2628,2121,7133,8697,7576,5338,5431,2630,9968,0003,4010,3493
111396,19961106,3270,1697,0940,3816,6522,5785,9617,8332,2856,3184,7170,9795,6560,8487,9170,2012,2847,3138,2014,0784,9126,1699,1619
111496,19961109,9777,6378,3268,4438,3313,9793,7696,1425,7447,8842,0615,5876,6312,2630,2778,4683,7100,8930,7753,6067,0179,4692,0240
111596,19961110,4444,2513,3584,0673,2776,3472,9601,5102,6817,9859,9592,8819,6995,5037,5184,8166,4509,4226,9998,3905,4580,5420,5017
111696,19961113,7322,6629,6811,5006,3576,5121,6525,2093,7973,3483,3404,8224,0580,4439,9466,9950,2507,7794,6564,9295,5506,7783,6781
111796,19961116,7310,4091,8885,2174,6792,0326,4560,8495,4141,9095,8746,8889,2452,7542,9455,5238,3300,4401,7403,8922,1697,3576,3076
111896,19961117,9857,8383,7456,3099,2657,4459,0063,6643,1947,8664,5408,0299,0816,1484,4998,6484,9294,2211,0710,9402,4225,3098,7774
111996,19961120,2843,7537,2731,0342,4246,9486,4274,9517,3329,1867,6227,1657,8949,0021,7095,7062,1038,1910,8049,5469,3247,8101,4063
112096,19961123,3835,8804,3831,8574,5903,5170,4974,6867,4681,4636,0801,2065,7309,9523,2991,5862,9045,2229,0732,1177,3044,4061,8498
112196,19961124,5938,9525,2024,8868,7031,1773,9517,8126,8884,4629,8315,9703,4770,2201,4546,5108,3926,7799,0988,3536,0174,6475,8070
112296,19961127,8898,9148,5706,1303,3260,8440,7838,5715,3244,5318,1553,9887,2088,9716,9731,4970,6634,2647,4499,1194,3645,3680,9398
112396,19961130,5437,4551,7659,0329,5861,2823,9923,4110,0746,2031,7228,2932,9340,3369,7411,5952,3093,2404,4661,0501,1413,5239,1557
112496,19961201,0297,0285,2894,2547,6354,4391,4258,0470,5821,8771,0166,5426,4694,7201,4207,7753,2177,3870,1277,7119,8350,6377,9990
112596,19961204,4474,8276,0766,8233,3282,4392,9847,3139,5541,3727,5324,6620,5491,6180,0796,2786,3962,4112,3775,3961,6951,2185,1110
112696,19961207,3302,3619,3696,7365,0382,0418,3217,2031,4604,1267,5749,0820,6549,7251,9406,5745,4014,7067,0790,5952,2241,5301,0224
112796,19961208,1715,3488,9926,6009,7363,9919,1335,9600,2430,2948,3072,4406,9745,9257,6775,8821,2931,6723,2218,4590,7628,1683,5359
112896,19961211,4453,2127,1385,8560,6414,5910,6015,0648,4748,3083,7876,0484,0898,9240,9296,6844,2045,5189,5399,0999,7904,8132,8570
112996,19961214,8767,5621,1578,8551,3731,9486,2827,4707,3424,7542,6873,5715,7105,2872,0924,7171,1339,8060,1470,9696,9974,1756,9513
113096,19961215,1624,4089,3875,7388,7280,0734,2098,0447,5844,2481,0794,5666,0223,6913,9520,0500,8852,0565,2768,5557,1347,3846,2787
113196,19961218,7041,4686,9187,7180,8581,2486,3523,4278,2850,3995,4121,1574,3264,3491,5517,1947,8779,2024,5084,2270,6700,5471,6714
113296,19961221,7311,1840,2360,2593,2959,1131,1676,3219,4516,2765,3774,4167,2564,0653,3789,5012,0324,9622,1642,1742,4910,9114,4754
113396,19961222,9464,3851,4265,8126,3617,4596,3451,1470,2271,1979,0444,1481,6650,3174,4278,9310,3850,2263,4317,1036,0985,7792,3312
113496,19961225,9403,4343,0140,9063,8543,7619,0393,9679,6279,5241,7744,4889,3464,8109,1509,4032,9580,1610,9996,6560,9554,0876,5402
113596,19961228,7476,7100,1863,4462,7752,0661,1622,6861,8881,4814,9727,0378,9961,6218,3178,0031,1005,6063,8373,7588,9229,6904,0714
113696,19961229,2586,1001,9253,2651,3505,3659,2384,6655,6835,7713,1991,3641,9341,7875,1743,7076,9562,9364,7946,4971,0243,1395,2346
113797,19970101,6021,3490,3960,0221,2407,9103,0486,1358,7677,6229,8901,6013,2031,4336,8005,4124,5080,7585,4631,2289,3415,2579,9528
113897,19970104,1075,0741,1601,1646,3494,0490,5342,8510,7381,4921,0160,9318,3276,7883,9786,7732,3377,7043,5603,2306,5984,1568,3551
113997,19970105,0596,2871,1472,7358,3189,6097,4207,3194,1225,6007,4645,1581,6739,7604,4158,3164,2068,5438,7448,0747,4973,0394,3141
114097,19970108,2784,5346,7154,4605,3163,6963,4332,1929,5540,5365,1855,5212,7821,4700,6354,8805,8330,4341,6602,1089,7680,7919,3753
114197,19970111,7337,3499,6472,9661,3383,5092,1423,2095,0774,8033,7925,2717,8539,6586,7381,7327,9861,3313,0737,3829,4387,3982,1963
114297,19970112,0513,7111,6388,6048,9838,0990,5668,6242,4952,4656,5503,8007,0991,1335,5430,1909,2955,0445,3124,2194,3239,7683,2989
114397,19970115,2940,0466,2619,4170,8086,9072,6836,2720,1638,5431,1183,5694,6848,3816,8085,9169,7804,6126,2299,5510,7694,4820,0293
114497,19970118,1945,1579,5578,4812,4554,7654,6704,5027,3697,0954,1560,4506,7435,2527,7321,8688,9423,4783,7556,8992,8761,6954,6058
114597,19970119,0579,9558,2961,7313,4287,2035,1924,6807,3219,8562,3841,2639,2898,9097,6219,8651,0687,4344,2200,4797,0078,1056,4902
114697,19970122,5513,3278,9207,7474,7322,6753,4868,1705,8144,1238,8776,8710,0914,6150,1439,1047,8974,4302,6083,1943,4778,2146,1246
114797,19970125,6716,3875,3154,4196,0047,8583,1842,3483,8214,7937,9078,4446,2443,1153,5084,3161,9686,2019,7253,8881,1116,7591,4551
114897,19970126,1273,0396,5860,6828,2901,0315,0647,2500,6190,5413,7647,9845,5451,9566,6823,6000,8264,8024,4128,0984,9717,3365,7646
114997,19970129,5681,4054,2942,1848,8975,2989,9844,7295,6197,0146,4825,9396,1663,5797,8318,6505,5204,4919,1335,6668,2416,4021,9784
115097,19970201,2768,7794,7192,8655,1275,1314,8695,5916,8200,1591,4613,6167,2206,2015,4394,6362,6229,5191,1923,4143,4626,8997,8653
115197,19970202,6980,3395,6436,3363,9676,1742,4608,4888,7930,6648,9177,9665,6352,0584,2081,8492,8589,0669,5785,0048,5995,0353,8208
115297,19970205,2759,1767,8373,4060,3464,7315,3054,1273,9146,5668,3841,1113,3625,0920,6787,9125,3057,8404,5891,2668,7078,1355,0962
115397,19970208,0885,8588,1902,3519,9347,3488,1317,4909,3643,0690,9069,5251,9492,3706,0718,3411,3420,6379,6675,9021,9943,2294,4684
115497,19970209,7108,7841,6595,7630,8424,7369,7598,7141,5325,4642,0426,1590,9244,5333,1730,6201,9261,7303,9118,7903,3008,7497,2637
115597,19970212,5586,7699,5293,5951,3114,9148,6675,1306,3082,5835,4958,5350,4512,1580,0307,7825,8987,6124,8532,8845,9975,2703,7177
115697,19970215,2535,5966,2750,9775,2629,3445,5012,1475,7680,2474,9948,6256,5133,1258,3177,1047,2348,3654,8022,7957,4239,4254,6074
115797,19970216,6549,2856,4614,4198,0287,6566,6543,9598,4305,1691,2268,9951,9848,6381,2069,3816,6835,6289,7106,7884,2675,0409,9067
115897,19970219,6719,4115,3411,3210,0813,3630,2243,0625,1588,2148,4271,0178,3904,1306,9933,4837,4370,8782,2938,1343,3691,9026,5274
115997,19970222,4338,0687,2681,8889,7387,2000,9511,2641,8456,5076,2800,3999,1641,5583,7679,9650,9956,0196,6563,1444,2504,8222,3641
116097,19970223,9844,2700,3879,5931,6674,7868,7475,4190,4444,8452,2011,2784,9953,3465,9993,9269,3252,3370,9136,3235,6709,9359,9682
116197,19970226,1578,2336,6725,5858,9265,0316,6177,0589,7810,4938,8865,0298,8501,3527,8712,2801,8053,2487,7122,3589,9059,6325,9512
116297,19970301,7051,6538,8693,8064,1007,2613,7107,0807,3679,9595,8694,4739,3361,7717,3102,1995,7007,4941,3195,2641,9286,1585,2027
116397,19970302,3780,8031,9777,6645,6014,9576,4473,6007,3151,8312,5659,2632,3438,9481,1511,1624,9785,2232,0696,6137,7381,1721,8318
116497,19970305,0652,2817,6241,7533,3977,3769,8847,0683,7149,2523,0531,2415,5570,4369,3711,3584,1238,9409,6545,8657,0261,9644,0679
116597,19970308,9377,1470,0662,7776,5158,2884,9460,2890,3977,2702,9945,2312,4270,2857,1662,2510,5549,0872,3917,4558,1037,4962,1464
116697,19970309,7309,2292,4590,6828,9950,8220,5838,7344,9934,0414,1887,6328,4023,6075,0741,4274,1968,5300,5373,4912,5153,0957,4034
116797,19970312,3491,2730,6434,8426,8553,1386,8396,5523,6536,6966,8820,1663,7750,7382,4455,5985,4336,5556,2125,9929,4889,8200,9763
116897,19970315,0937,6889,1743,9928,7223,2722,8399,7748,1827,3079,8196,8040,8222,3808,3346,0132,0004,6195,5746,6332,5087,1375,2347
116997,19970316,5711,8326,1350,0228,3922,6955,7963,6848,7724,7273,7134,0253,1635,9309,5475,6641,0905,0886,3626,2448,9044,4772,3656
117097,19970319,5011,7497,8456,6013,0069,3184,9266,7805,3301,5111,5410,3686,6042,2618,3849,7699,9395,0478,7915,7290,0729,3328,2818
117197,19970322,4178,0857,4434,0342,2621,0205,9455,8293,1849,5473,3993,8123,7753,0553,3651,4157,9623,0331,3201,9999,0022,8493,5204
117297,19970323,9539,0873,6722,9328,4088,0393,3730,0775,7676,5622,3291,9915,4527,0460,0090,2325,4432,2885,1864,5044,8393,3909,6119
117397,19970326,1783,0689,1814,5401,2696,6155,3694,3786,9305,7153,9590,8052,2609,6782,0734,4546,3083,9814,4063,8134,6755,3481,3799
117497,19970329,2611,1712,9877,2112,3185,1629,2184,9716,6875,6231,3471,1387,4166,0907,5831,5429,4781,8630,8662,9814,6783,5346,3332
117597,19970330,2243,9750,9611,4680,2922,5889,8128,7348,0873,7121,5987,3024,7375,4976,9116,3149,6185,4356,2408,4073,4402,9804,4185
117697,19970402,4275,1370,8100,5014,3602,5233,6271,9317,7903,6851,1939,6562,6670,9926,0545,7965,3597,6804,1934,8607,8250,0785,6220
117797,19970405,5299,2640,8156,5155,9731,9828,9049,9902,8185,4119,8767,8273,3272,8072,0714,7671,2253,2612,2355,6080,2362,6854,2646
117897,19970406,4399,3302,0490,8727,8662,8743,9396,6149,9635,8686,7477,8383,8320,9511,0759,2080,0070,9949,7302,2654,1530,1151,1077
117997,19970409,3047,2308,7087,9602,9562,4870,1067,4732,7780,8937,2878,1079,9885,4180,9091,6603,3336,6776,8979,4876,3209,1729,3719
118097,19970412,3565,4629,4296,4571,4473,9705,5810,6998,2889,1995,7530,6273,5984,6399,5741,1893,0371,8012,2120,6125,9861,2598,6681
118197,19970413,3082,3752,9231,3652,7714,5637,2362,5029,1758,4859,1117,7061,7718,2853,7682,9193,4021,7080,9518,6193,3857,5189,7833
118297,19970416,7113,6374,4341,1426,0046,2982,7930,8970,3458,4161,5228,7883,3286,8944,5577,8414,4445,4934,9857,4139,6218,6694,7986
118397,19970419,5584,6395,2961,3493,3247,3255,9225,0957,9128,4889,8360,1971,3941,1620,6513,3554,1435,7862,3583,3995,0224,8076,0271
118497,19970420,2504,3150,7808,1282,5709,3869,5361,0534,8679,3610,5221,9332,6258,4768,2777,8003,3657,4668,2059,9191,0266,2545,5263
118597,19970423,1689,0241,8613,9576,4607,8847,2038,6299,6491,7590,0919,4840,1853,1279,4029,1386,0357,3336,2754,1983,7273,0950,6251
118697,19970426,7152,8956,8683,4728,4086,1990,3629,4272,9371,3811,6371,6360,2843,6828,3312,5991,1354,9686,0818,0637,2066,9232,8151
118797,19970427,7522,0732,2961,0577,0230,5361,7898,4628,1297,0866,7373,1092,0205,7512,8509,6520,0607,4065,4060,4658,0225,7718,3581
118897,19970430,1709,7805,8391,1144,7794,6381,7082,6789,4334,6867,0479,6232,3349,9708,8796,5120,7217,7556,2722,2076,6738,4225,9734
118997,19970503,2027,6315,0665,9393,8974,9185,0087,7244,2568,8891,0916,2941,3676,7036,8777,9142,2659,6608,8319,1763,3115,6058,7203
119097,19970504,4737,3097,1399,7704,7412,9483,8613,6069,9312,1133,5600,8592,3629,4818,6459,2874,2746,8449,5453,8450,6699,9809,8960
119197,19970507,1358,3473,1154,6888,2745,1373,8056,3583,8330,9980,9335,4171,9825,0900,5766,1939,9938,4638,6242,6246,3288,4807,5873
119297,19970510,4062,4414,7995,5571,2775,1783,7909,1213,2787,5609,5315,0451,9118,3885,5372,5217,7798,8995,4726,6267,1739,8080,7754
119397,19970511,1005,8327,9018,3821,9105,1003,4823,4978,5801,0607,9242,9440,4009,7093,6687,6561,0412,6211,3738,6174,0464,7662,4366
119497,19970514,7406,2115,7283,3498,1389,0105,8750,5660,3567,3062,2316,4393,5845,3072,6266,1806,0010,0361,0476,3948,3485,8321,5120
119597,19970517,8398,1719,8654,7705,0434,2345,0905,8979,7384,4197,5649,2214,4559,5617,4665,9849,9261,7868,4051,5316,6676,3776,6200
119697,19970518,6377,8272,4046,9956,3570,2411,1111,1063,8116,1181,2950,5166,5633,5756,6211,8690,2104,9797,4529,2329,1262,7403,5825
119797,19970521,8451,3209,3792,3096,7964,0191,3883,9378,0698,7385,1191,1768,3724,1720,6400,7666,5326,9992,0687,9036,3662,1654,0983
119897,19970524,8283,2951,2577,2450,8105,4256,9558,9627,1989,8781,5800,5183,0037,2024,0523,5586,9233,1246,6020,1968,3670,6924,3310
119997,19970525,4594,1870,4267,5689,5103,3174,6379,9453,7654,5204,5109,2352,5888,6637,9337,5721,3984,3809,6054,6934,1624,9910,9142
120097,19970528,1742,9202,8175,8193,1913,7673,7026,1027,4388,1343,7788,2834,5405,5650,7586,9945,9574,6346,9977,7515,2027,2143,0523
120197,19970531,4039,0873,6209,3426,1778,8654,6021,6331,2700,3936,7637,1035,6894,0082,7757,5819,6316,5240,1965,1815,2933,8758,7517
120297,19970601,4698,9824,0888,1969,2019,3461,3747,2018,6732,5886,1012,7594,7174,1226,4154,7956,2457,7933,4951,9105,2609,9554,9502
120397,19970604,3351,5512,2730,6351,5717,4939,1843,4728,3462,8000,2626,2373,1105,0060,0019,0551,3376,4728,0057,7742,1043,9092,5415
120497,19970607,2534,0604,0287,7517,7552,8578,0657,2725,3233,9230,6191,9025,7880,4897,6644,0223,9253,6349,8255,5531,2205,3875,5854
120597,19970608,8331,5249,5649,0839,4304,1322,1889,3711,6653,7959,1816,3997,7022,3769,9492,6661,1026,1574,2235,8900,1175,1601,1571
120697,19970611,8230,9501,8138,1608,4797,2611,0719,4749,8407,4484,5114,9716,6612,4417,7927,0063,3993,9686,0536,7179,0808,4334,8528
120797,19970614,9739,0298,4136,9107,7711,7942,5236,6217,6108,0869,4442,2170,8998,1610,9917,9362,7481,1491,8225,5292,5798,2108,6845
120897,19970615,3088,6817,7529,7917,9400,4972,3748,9377,8933,2819,6038,0798,2373,8268,2342,9648,0537,5040,8323,9146,0551,8551,8348
120997,19970618,3947,3442,3532,0576,8815,6771,4735,8134,9649,7080,6179,4931,4559,3465,1908,2508,2109,4781,8972,0167,0494,6483,9430
121097,19970621,3965,1117,0153,9134,1811,0662,1517,5226,9610,8171,5112,0471,6870,7519,1534,4678,9588,4448,5462,0381,3723,7704,4994
121197,19970622,1923,2168,3854,2844,7885,7158,6685,2075,8140,3798,5950,5819,6871,6190,7786,2462,1520,9836,5714,8954,8521,8781,3562
121297,19970625,5156,0306,9290,7665,7562,4806,9864,5288,2879,2147,1882,2739,1543,2567,5885,0307,3052,6970,7913,9699,5520,6384,0235
121397,19970628,2036,0830,5105,8456,6989,4665,3687,9120,6904,6887,6268,8725,3436,6602,0568,0990,4435,3800,0063,2327,1824,0570,7642
121497,19970629,5041,8455,4489,3291,5765,4821,7773,3999,8400,2284,5260,2111,3667,2329,8107,5450,2432,2825,8452,1799,8017,9277,5878
121597,19970702,9516,4679,1591,9388,3416,0517,7165,3613,1413,5852,9046,5796,9012,2085,9794,6142,3401,5706,9636,5657,5956,0204,0688
121697,19970705,3589,9842,3750,2357,3762,8232,3028,7787,0436,4294,4432,7790,3940,1219,6872,9737,8375,8220,5641,9133,6476,0461,5286
121797,19970706,8548,2018,3250,8840,7078,0573,5699,4060,7681,5529,3392,8848,4386,3691,4787,6514,7644,0482,4368,9178,9107,6934,1350
121897,19970709,4827,0222,0222,2885,6680,5816,5218,0071,4880,7870,1491,4974,3803,5178,5172,2230,5015,8080,9268,6983,8787,6607,8178
121997,19970712,9152,8286,1027,4311,4092,8620,1303,2011,0977,1234,4638,0885,3887,9408,6688,2465,0796,3022,0901,9872,9908,3525,5169
122097,19970713,5465,8344,9819,0531,4454,7936,9301,3075,4792,4449,2522,0899,5375,5884,9311,5881,1565,2108,5736,5875,0022,5666,0896
122197,19970716,0839,9088,3179,7207,7698,4157,2266,1714,0291,8595,2739,4288,5621,2327,3099,3482,8267,3739,9781,5624,5585,3517,5316
122297,19970719,1146,8655,3110,0323,2191,1243,7754,2938,5371,8012,0303,4448,3119,0732,7275,2652,5743,3677,9569,4554,7983,0888,9944
122397,19970720,2092,1678,1197,9595,1618,0434,6351,3443,2498,6259,3279,6332,5786,4413,9811,6667,8991,9103,7440,5938,4332,3070,7603
122497,19970723,3234,4456,6717,9987,9572,9852,7402,6469,0731,4725,0661,1718,9257,2343,0853,4905,0492,7676,7447,6711,2612,1274,9200
122597,19970726,5124,0073,4648,7332,2136,9676,7595,8699,9640,7017,3440,7568,6664,4397,1564,1332,4214,3805,2642,6125,5008,2385,9861
122697,19970727,5194,4864,2281,4742,0814,0015,1197,7263,3763,1087,1286,7025,6434,1524,0107,1966,3031,2606,4541,0304,4826,8173,1575
122797,19970730,5106,2415,0979,6633,5209,5242,9740,4201,1340,1839,4928,3864,2234,3511,6038,5678,4360,5908,2378,5027,4093,0874,0822
122897,19970802,0324,6199,9828,7654,3401,0426,7541,2360,8153,6251,2556,3632,1916,6740,6910,4154,4190,3953,8763,9487,0846,6919,6422
122997,19970803,8508,8687,4833,8431,2742,4155,5369,7018,5897,9036,8987,0941,1261,3184,2378,4465,6925,9188,6516,5075,1557,6033,3984
123097,19970806,2724,6319,1168,0227,1595,8181,8930,7637,8491,0157,2661,0277,3074,3244,7129,8806,9065,2130,4941,3338,9804,7906,4003
123197,19970809,5799,2936,9366,5278,7751,0464,6599,9877,6051,8362,7411,9820,9193,7654,0342,0222,6961,1115,2282,4218,4515,7643,7972
123297,19970810,4182,6142,9543,2921,4518,6084,6364,5695,8965,3750,2661,8730,6043,7657,9579,4861,1233,9225,9172,1546,4289,9492,3330
123397,19970813,7943,8381,8411,1268,0482,1267,6743,8449,4674,0762,7342,2490,3125,0426,2977,3226,9047,9589,7234,1048,0014,4942,7401
123497,19970816,0101,1930,2409,7236,0536,8006,7756,2289,4805,3822,8314,1787,3855,9795,7238,1459,3670,9064,0532,2554,7929,8034,3967
123597,19970817,6808,3516,0702,5184,4679,9030,0774,2991,6655,3913,2732,7294,8768,8391,3748,1039,3327,1853,8132,1685,9715,0656,7197
123697,19970820,7731,6475,2480,9554,3364,3846,7052,2415,5362,8949,9946,6309,0423,4885,8966,1877,4446,8722,7804,7656,0368,1175,1208
123797,19970823,0036,5502,9211,7668,3805,6056,8985,8618,2720,6139,5288,5685,9309,2191,2678,0815,8328,7236,6851,0176,5598,7520,7909
123897,19970824,4578,8395,0222,6168,0036,5275,0659,8025,6699,5383,9135,0776,5685,9798,1524,0554,9019,5930,8378,3716,4667,1544,9440
123997,19970827,0328,8518,9284,7834,5428,4140,2192,7913,5228,4017,2932,8849,5540,1092,5122,4216,1989,0724,4766,6438,4840,0634,5980
124097,19970830,7842,5033,2750,1316,5211,3433,8517,7410,7985,3445,3268,9734,8666,8341,0213,7307,3564,9776,1065,8017,0341,1095,4529
124197,19970831,7409,6748,5119,4355,5803,8679,1873,3107,8128,0135,1150,0832,1910,1696,6205,5007,1066,5987,9323,1564,2845,1389,6825
124297,19970903,9573,8894,5263,8384,9080,4597,8617,4437,3858,1149,8173,7263,0872,1570,7156,2764,1042,5841,4386,8847,5293,2575,3226
124397,19970906,2445,7567,8626,6155,3440,8689,2284,2387,8548,0959,3032,9527,6794,9648,8616,8259,0219,6459,5011,4588,4521,0979,7374
124497,19970907,0920,9686,5556,8762,0445,3052,1804,3103,8221,4038,7082,4369,9494,5027,5898,3736,2130,6528,4680,5257,0527,8214,6630
124597,19970910,6960,7890,7598,4237,5867,2514,5529,9380,5498,5946,6926,1590,2637,7066,5519,1668,9806,3446,0060,0065,5970,2622,0710
124697,19970913,1074,8604,4936,1466,2447,2460,5009,9539,6653,4453,4040,3931,6261,9009,3904,8248,2109,3472,4891,8745,3126,5406,6414
124797,19970914,8071,1893,9325,5929,9942,6690,4186,7750,6690,7704,9370,5165,9381,8158,1858,5865,7998,6382,3326,8227,5481,6535,9426
124897,19970917,6769,9793,3280,2397,7726,6750,8051,2351,9781,8961,8980,1570,4488,4277,6379,4928,7118,0110,9375,5032,3040,9714,6243
124997,19970920,0041,6845,6740,9536,8528,1241,5499,3623,1401,6331,5446,8990,4479,2276,9936,2716,6983,1197,5471,5795,5028,9147,7543
125097,19970921,2041,1308,9739,0802,6221,7071,8697,6227,5828,6121,1891,6246,7431,9006,0829,8121,2702,9476,2021,2830,0313,0236,1501
125197,19970924,7295,3580,7496,1701,5560,3204,2991,7671,7621,2425,5937,8198,1703,8531,3512,9381,2669,6497,8370,8852,3664,9344,3183
125297,19970927,2385,1691,8267,5635,8839,7170,6038,5798,5250,7292,0136,0706,9258,0495,7944,3890,0027,4704,7251,5379,9197,7109,5591
125397,19970928,1180,4022,8777,1153,4300,1058,2038,8489,3662,8840,2795,8425,8819,7393,2189,7474,0317,4355,7198,1404,7133,7238,2052
125497,19971001,2622,8938,6427,0303,6578,1029,0587,2873,4193,5603,1568,0825,8545,9090,9964,6734,5921,6031,6809,5725,3433,7586,3306
125597,19971004,6648,2446,3517,5485,0511,5755,2331,5795,4203,3439,5180,7163,4093,5943,0299,5867,9327,8858,3137,3128,1898,7867,2915
125697,19971005,3610,6682,8704,8352,5757,7417,0060,3070,7747,3926,6247,3508,5988,5710,8127,3512,4778,0914,9850,8667,7639,0634,9385
125797,19971008,3352,6670,1186,6117,8300,0454,8330,4524,9057,1840,8342,3512,8568,9958,4155,3120,6937,5473,5608,7758,1204,3715,4745
125897,19971011,2962,3822,0800,9521,8494,3720,9117,6340,6405,6087,6306,3128,9995,7656,1877,6834,0019,6637,3984,6867,6976,9182,3264
