DrawNo,DrawDate,1stPrizeNo,2ndPrizeNo,3rdPrizeNo,SpecialNo1,SpecialNo2,SpecialNo3,SpecialNo4,SpecialNo5,SpecialNo6,SpecialNo7,SpecialNo8,SpecialNo9,SpecialNo10,ConsolationNo1,ConsolationNo2,ConsolationNo3,ConsolationNo4,ConsolationNo5,ConsolationNo6,ConsolationNo7,ConsolationNo8,ConsolationNo9,ConsolationNo10
044692,19920805,2281,3683,0717,1224,8631,7145,2156,4550,5003,5460,0597,4073,8092,2650,4717,2947,2054,0324,4741,3204,2126,1835,4333
044792,19920806,1715,0908,8147,4786,7285,4997,6830,2340,6041,5569,3546,1497,9800,2813,1490,4775,7512,7650,8573,3744,5073,4072,1824
044892,19920809,2138,4534,2655,0542,5748,1398,1949,3551,4965,2589,5215,6788,0901,6552,7141,3952,2181,2199,5450,6462,8142,9515,2343
044992,19920812,4887,6517,6219,9987,8857,5876,8611,2055,6831,4666,5985,0223,6446,3939,6399,2724,3696,6040,1977,0912,7650,1322,7848
045092,19920813,5592,6130,1566,2475,6756,8868,8345,5187,6789,3347,1119,5276,8398,7858,8343,3939,3024,4920,8246,6522,2211,7627,9178
045192,19920816,1269,8281,4385,6323,2599,9409,7022,8826,7652,8125,3080,1406,6712,4842,9177,6505,4848,0676,5715,5475,2616,5498,7964
045292,19920819,2330,5688,0523,2860,0867,9995,8139,9373,9162,6677,7800,6969,5160,7947,4935,1680,5666,9552,4817,9287,0258,5753,1317
045392,19920820,8444,2081,2407,4047,4345,3941,1570,0684,0772,4801,6934,3071,4118,0778,1730,5959,7536,3200,2638,4064,4348,0184,1913
045492,19920823,4766,3766,0416,7714,5511,8210,9333,7602,5118,7699,0629,9153,7129,4288,7493,8711,5345,9991,4359,9699,9529,6954,8424
045592,19920826,3666,1281,3797,9169,0265,3262,9897,1114,5603,4673,0106,0992,7711,2569,6568,1451,3369,1048,1344,2211,5302,3123,4606
045692,19920827,7587,2822,5002,6016,9121,0423,7854,5980,1250,2257,4845,4440,4389,5420,2120,3142,2518,6423,9674,9691,4809,4173,9501
045792,19920830,3237,1540,7078,8157,9506,8992,9754,4058,2904,5011,3205,4515,0290,1524,9904,0187,2968,7090,6706,2733,4893,7328,7380
045892,19920902,9244,3176,4174,0563,0662,8311,1712,2162,2055,3454,5958,0245,2764,3442,0836,1137,5378,7364,3364,9772,0245,1705,3305
045992,19920903,8264,2383,0790,1587,6599,4666,8140,1140,6897,0014,6125,1918,9158,1342,5924,7213,5239,1364,0737,1549,4069,8080,2173
046092,19920906,8095,8601,1154,0840,3300,7743,4283,6949,0612,3937,0069,6629,6638,9843,7014,5366,9980,7720,9952,3921,6107,0755,5270
046192,19920909,3859,3673,8533,5438,1004,3271,2822,0908,4317,5606,7537,1372,2790,4075,1206,7390,9399,7807,0620,5267,5599,4227,4470
046292,19920910,6421,6033,3347,8861,8621,4699,6993,6783,5230,0516,9542,2039,4590,8781,2712,8720,8937,3141,4091,0149,8024,4710,6415
046392,19920913,1885,7458,0315,8851,5755,9446,6966,0445,2965,6899,5662,2625,8921,2046,1149,3603,7077,1961,4390,3418,5612,8112,7074
046492,19920916,9480,3682,9223,7717,4862,0751,6728,1290,6930,3667,7193,3280,4531,6444,2147,6946,5727,5674,3602,4560,7697,0548,7724
046592,19920917,6846,1707,1573,5884,3817,2462,0181,6657,9244,8994,9543,3101,9041,9042,1574,4175,4582,4345,5826,9586,9972,4524,3687
046692,19920920,8642,1639,7107,0917,9024,9573,3712,3321,9021,5059,2605,2537,8687,2427,8149,3375,3065,9204,0265,3335,8079,2045,0357
046792,19920923,5117,8471,8826,5317,5239,7228,3785,3885,2339,6398,5653,8730,2041,5831,2255,4909,7461,0494,4353,4560,1278,9706,0680
046892,19920924,3354,5481,1199,3586,4549,9804,0263,3192,1133,1568,9436,5777,5242,8874,2236,9893,1143,0177,4620,2431,8929,1394,1204
046992,19920927,4994,1275,7887,2512,4038,1270,0561,6131,4809,1808,6016,7447,1185,0753,5280,0640,9499,3533,5018,7966,9213,8882,2608
047092,19920930,0753,2700,9616,6773,0346,9077,4865,6775,1294,2335,2247,6033,4936,4696,8971,7150,6954,9712,5515,6662,6216,7808,9463
047192,19921001,6706,2055,6342,5275,2177,2514,1389,0150,6902,1609,5695,5782,3481,5486,8193,2849,2715,3461,4607,5180,0475,1929,4536
047292,19921004,2649,3573,1825,1244,8030,8341,0032,4501,4482,4180,8427,5889,2089,1389,3522,2377,7785,4468,2861,1885,9599,6454,4362
047392,19921007,2837,5357,9634,5416,0055,4603,1110,0509,1365,6587,9317,7478,2948,0164,9759,3066,5903,7515,4961,3981,7356,5573,7984
047492,19921008,4296,7999,3865,2432,3642,9337,9295,2128,2337,0968,8492,6569,9736,0335,6751,9135,1976,6824,6274,1965,7776,8389,3060
047592,19921011,7461,1514,1532,4567,3238,4151,0873,8867,2267,7085,5732,9433,4230,5162,0912,7494,4558,0738,9290,3952,6636,2860,2434
047692,19921014,6536,2883,4976,4288,5774,0801,7268,3391,2825,6310,1359,3686,5777,7721,7316,0225,0745,9338,0982,2256,1317,6493,0137
047792,19921015,6460,7402,1408,1705,9610,1853,6326,6936,6271,0998,8408,8686,4376,0025,0395,3227,7292,3778,2114,4950,7904,2663,6683
047892,19921018,3680,3569,9746,4204,1545,2398,3056,5849,6489,2512,3080,9116,8121,8510,0041,9216,5704,9541,2404,7165,1718,8638,3275
047992,19921021,7942,1251,0794,7967,7838,0041,5880,3096,0524,6129,0870,6935,1087,9447,9398,9837,5825,7699,7748,8778,8249,4248,5401
048092,19921022,7817,5672,7020,0853,6224,8255,8875,8250,5756,1543,1770,1679,4668,3259,3510,8452,2330,8148,5508,3840,9187,4275,4404
048192,19921025,0063,8224,3309,2392,2750,8047,9898,1761,9510,8041,1621,2498,8267,4707,3972,3416,7394,1753,7588,7316,1586,9608,0807
048292,19921028,9200,6116,3757,9617,9652,8838,3564,4644,8010,9320,8808,8275,5497,7915,6746,0420,9849,1827,1429,7307,3608,9415,9085
048392,19921029,8997,7829,3023,9962,5599,7673,5935,4248,6621,8283,2933,3304,0812,6319,1707,6057,6277,6311,8597,0726,6673,5167,4199
